movieId,Director,Budget,Cumulative Worldwide Gross,Runtime
1301,Fred M. Wilcox,1900000,-,1 hour 38 minutes
1300,Lasse Hallström,-,8349284,1 hour 41 minutes
1299,Roland Joffé,14400000,34700291,2 hours 21 minutes
1298,Alan Parker,12000000,22274148,1 hour 35 minutes
1297,Martha Coolidge,8000000,12952019,1 hour 48 minutes
1296,James Ivory,3000000,21062065,1 hour 57 minutes
1295,Philip Kaufman,17000000,10006806,2 hours 51 minutes
1293,Richard Attenborough,22000000,52768419,3 hours 11 minutes
1292,Hal Ashby,-,30179435,2 hours 10 minutes
1291,Steven Spielberg,48000000,474171806,2 hours 7 minutes
1290,Howard Deutch,-,18553948,1 hour 35 minutes
1289,Godfrey Reggio,-,1728124,1 hour 26 minutes
1288,Rob Reiner,2500000,4739391,1 hour 22 minutes
1287,William Wyler,15000000,74439376,3 hours 32 minutes
1286,Jeannot Szwarc,5100000,9709597,1 hour 43 minutes
1285,Michael Lehmann,3000000,1167227,1 hour 43 minutes
1284,Howard Hawks,250000,51050,1 hour 54 minutes
1283,Fred Zinnemann,730000,217,1 hour 25 minutes
1282,"James Algar, Samuel Armstrong, Ford Beebe Jr.",2280000,76411978,2 hours 4 minutes
1281,Charles Chaplin,2000000,972212,2 hours 5 minutes
1280,Yimou Zhang,-,2603061,2 hours 5 minutes
1279,Jim Jarmusch,3500000,2113387,2 hours 9 minutes
1278,Mel Brooks,2800000,86276706,1 hour 46 minutes
1277,Jean-Paul Rappeneau,100000000,5822041,2 hours 17 minutes
1276,Stuart Rosenberg,3200000,1767,2 hours 7 minutes
1275,Russell Mulcahy,16000000,5901480,1 hour 56 minutes
1274,Katsuhiro Ôtomo,1100000000,3337718,2 hours 4 minutes
1273,Jim Jarmusch,1100000,1529199,1 hour 47 minutes
1272,Franklin J. Schaffner,12000000,61749765,2 hours 52 minutes
1271,Jon Avnet,11000000,119418501,2 hours 10 minutes
1270,Robert Zemeckis,19000000,385053307,1 hour 56 minutes
1269,Frank Capra,1164000,-,1 hour 58 minutes
1268,Allan Moyle,-,11541758,1 hour 42 minutes
1267,John Frankenheimer,2200000,2757256,2 hours 6 minutes
1266,Clint Eastwood,14400000,159167799,2 hours 10 minutes
1265,Harold Ramis,14600000,71108778,1 hour 41 minutes
1264,Jean-Jacques Beineix,-,183425,1 hour 57 minutes
1263,Michael Cimino,15000000,49080126,3 hours 3 minutes
1262,John Sturges,4000000,230637,2 hours 52 minutes
1261,Sam Raimi,3600000,5932279,1 hour 24 minutes
1260,Fritz Lang,-,35566,1 hour 39 minutes
1259,Rob Reiner,8000000,53522503,1 hour 29 minutes
1258,Stanley Kubrick,19000000,47962534,2 hours 26 minutes
1257,Savage Steve Holland,-,10297601,1 hour 37 minutes
1256,Leo McCarey,-,106318,1 hour 9 minutes
1255,Peter Jackson,200000,-,1 hour 31 minutes
1254,John Huston,3000000,5014000,2 hours 6 minutes
1253,Robert Wise,1200000,651,1 hour 32 minutes
1252,Roman Polanski,6000000,29231954,2 hours 10 minutes
1251,Federico Fellini,-,200502,2 hours 18 minutes
1250,David Lean,3000000,27201366,2 hours 41 minutes
1249,Luc Besson,50000000,5018604,1 hour 57 minutes
1248,Orson Welles,829000,2285063,1 hour 35 minutes
